,Draft Year,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
137,2009,48,PHO,Taylor Griffin,University of Oklahoma,1,8,32,10,2,1,.400,.000,.500,4.0,1.3,0.3,0.1,0.0,-.039,-7.3,0.0
138,2009,49,ATL,Sergiy Gladyr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2009,50,UTA,Goran Suton,Michigan State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2009,51,SAS,Jack McClinton,University of Miami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2009,52,IND,A.J. Price,University of Connecticut,6,261,3929,1523,377,567,.380,.316,.742,15.1,5.8,1.4,2.2,4.7,.058,-2.4,-0.4
142,2009,53,SAS,Nando De Colo,0,2,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081,-0.8,0.4
143,2009,54,CHA,Robert Vaden,University of Alabama at Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2009,55,POR,Patrick Mills,Saint Mary's College of California,10,605,11497,5094,1010,1431,.431,.391,.849,19.0,8.4,1.7,2.4,27.5,.115,0.4,7.1
145,2009,56,DAL,Ahmad Nivins,Saint Joseph's University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2009,57,PHO,Emir Preldzic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2009,58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,.375,.277,.806,10.4,4.7,1.4,1.2,0.2,.016,-2.7,-0.1
148,2009,59,LAL,Chinemelu Elonu,Texas A&M University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2009,60,MIA,Robert Dozier,University of Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2010,31,NJN,Tibor Pleiss,0,1,12,82,24,15,2,.440,.000,1.000,6.8,2.0,1.3,0.2,-0.1,-.041,-8.1,-0.1
151,2010,32,MIA,Dexter Pittman,University of Texas at Austin,4,50,347,116,89,9,.450,0,.545,6.9,2.3,1.8,0.2,0.5,.068,-6.0,-0.4
152,2010,33,SAC,Hassan Whiteside,Marshall University,7,343,8929,4583,3909,203,.574,.222,.593,26.0,13.4,11.4,0.6,36.8,.198,0.4,5.5
153,2010,34,POR,Armon Johnson,"University of Nevada, Reno",2,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-.015,-6.2,-0.4
154,2010,35,WAS,Nemanja Bjelica,0,4,269,5424,1906,1172,395,.460,.381,.755,20.2,7.1,4.4,1.5,10.7,.095,0.6,3.6
155,2010,36,DET,Terrico White,University of Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2010,37,MIL,Darington Hobson,University of New Mexico,1,5,39,4,3,6,.154,.000,0,7.8,0.8,0.6,1.2,-0.2,-.225,-14.1,-0.1
157,2010,38,NYK,Andy Rautins,Syracuse University,1,5,24,8,1,3,.429,.250,.500,4.8,1.6,0.2,0.6,-0.2,-.314,-16.0,-0.1
158,2010,39,NYK,Landry Fields,Stanford University,5,255,6010,1731,1092,419,.473,.332,.666,23.6,6.8,4.3,1.6,10.5,.084,-0.1,2.8
159,2010,40,IND,Lance Stephenson,University of Cincinnati,9,508,11866,4354,2124,1456,.444,.315,.685,23.4,8.6,4.2,2.9,16.7,.068,-0.8,3.6
160,2010,41,MIA,Jarvis Varnado,Mississippi State University,2,37,397,107,72,16,.582,0,.518,10.7,2.9,1.9,0.4,0.7,.089,-1.9,0.0
161,2010,42,MIA,Da'Sean Butler,West Virginia University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2010,43,LAL,Devin Ebanks,West Virginia University,3,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035,-4.7,-0.5
163,2010,44,MIL,Jerome Jordan,University of Tulsa,2,65,491,180,132,17,.528,0,.852,7.6,2.8,2.0,0.3,1.7,.168,0.0,0.2
164,2010,45,MIN,Paulao Prestes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
